型式,ﾒｰｶｰ名,車名,発売年月日,自動車ﾀｲﾌﾟ(仮),国産/外車ｺｰﾄﾞ,対人ｸﾗｽ(n),対人ｸﾗｽ(n-1),対物ｸﾗｽ(n),対物ｸﾗｽ(n-1),搭傷ｸﾗｽ(n),搭傷ｸﾗｽ(n-1),車両ｸﾗｽ(n),車両ｸﾗｽ(n-1),担種目(n),担種目(n-1)
00H,AMC,ランブラー,19690101,1,2,7,7,6,6,5,5,3,3,,
01G,AMC,レーベル,19690101,1,2,7,7,6,6,5,5,3,3,,
01P,AMC,レーベル,19690101,1,2,7,7,6,6,5,5,3,3,,
07X,AMC,シャベリン,19690101,1,2,7,7,6,6,5,5,3,3,,
08X,AMC,アンバサダー,19690101,1,2,7,7,6,6,5,5,3,3,,
0C,AMC,ランブラー,19670101,1,2,7,7,6,6,5,5,3,3,,
0M,AMC,ランブラー,19670101,1,2,7,7,6,6,5,5,3,3,,
1E,AMC,マタドール,19700101,1,2,7,7,6,6,5,5,3,3,,
1H,AMC,マタドール,19700101,1,2,7,7,6,6,5,5,3,3,,
1M,AMC,ランブラー,19670101,1,2,7,7,6,6,5,5,3,3,,
1M,AMC,レーベル,19670101,1,2,7,7,6,6,5,5,3,3,,
1P,AMC,AMC,19730101,1,2,7,7,6,6,5,5,6,6,,
1T,AMC,レーベル,19680101,1,2,7,7,6,6,5,5,3,3,,
38C,AMC,イーグル,19830101,1,2,7,7,6,6,5,5,7,7,,
3C,AMC,イーグル,19860101,1,2,7,7,6,6,5,5,7,7,,
4E,AMC,グレムリン,19700101,1,2,7,7,6,6,5,5,3,3,,
71Z,AMC,AMC,19730101,1,2,7,7,6,6,5,5,6,6,,
79T,AMC,ランブラー,19670101,1,2,7,7,6,6,5,5,3,3,,
7M,AMC,ジープ チェロキー ワゴニア,19870101,1,2,7,7,5,5,5,5,4,4,,
7W,AMC,ジープ,19840101,1,2,7,7,6,6,5,5,7,7,,
7X,AMC,シャベリン,19680101,1,2,7,7,6,6,5,5,3,3,,
7Z,AMC,シャベリン,19700101,1,2,7,7,6,6,5,5,3,3,,
81Z,AMC,AMC,19730101,1,2,7,7,6,6,5,5,6,6,,
8T,AMC,ランブラー,19670101,1,2,7,7,6,6,5,5,3,3,,
8T,AMC,アンバサダー,19670101,1,2,7,7,6,6,5,5,3,3,,
8X,AMC,アンバサダー,19680101,1,2,7,7,6,6,5,5,3,3,,
8Z,AMC,アンバサダー,19700101,1,2,7,7,6,6,5,5,3,3,,
OH,AMC,ホーネット,19700101,1,2,7,7,6,6,5,5,3,3,,
1000,ASA,ASA,19690101,2,2,4,4,4,4,5,5,3,3,,
10M,BMC,モーリス,19670101,2,2,4,4,4,4,5,5,3,3,,
10MC,BMC,モーリス,19640101,2,2,4,4,4,4,5,5,3,3,,
10MM,BMC,モーリス,19630101,2,2,4,4,4,4,5,5,3,3,,
12M,BMC,モーリス,19670101,2,2,4,4,4,4,5,5,3,3,,
12MC,BMC,モーリス,19670101,2,2,4,4,4,4,5,5,3,3,,
12MD,BMC,モーリス,19700101,2,2,4,4,4,4,5,5,3,3,,
12P,BMC,プリンセス,19670101,2,2,4,4,1,1,5,5,3,3,,
12P,BMC,バンデンプラ,19670101,2,2,4,4,1,1,5,5,3,3,,
12R,BMC,ライレー,19680101,2,2,4,4,4,4,5,5,3,3,,
12W,BMC,ウズレー,19700101,2,2,4,4,4,4,5,5,3,3,,
16W,BMC,ウズレー,19620101,2,2,5,5,5,5,5,5,3,3,,
18M,BMC,モーリス,19670101,2,2,5,5,5,5,5,5,3,3,,
18W,BMC,ウズレー,19690101,2,2,5,5,5,5,5,5,3,3,,
9MCI,BMC,モーリス,19700101,2,2,4,4,4,4,5,5,3,3,,
9MI,BMC,モーリス,19690101,2,2,4,4,4,4,5,5,3,3,,
12,BMW,BMW,19670101,2,2,5,5,5,5,5,5,3,3,,
13,BMW,BMW,19660101,2,2,5,5,5,5,5,5,3,3,,
14,BMW,BMW,19670101,2,2,5,5,5,5,5,5,3,3,,
15,BMW,BMW,19660101,2,2,5,5,5,5,5,5,3,3,,
1500,BMW,BMW,19640101,2,2,4,4,4,4,5,5,3,3,,
1502,BMW,BMW,19760101,2,2,5,5,5,5,5,5,5,5,,
1600GT,BMW,BMW,19680101,2,2,5,5,5,5,5,5,3,3,,
1600K,BMW,BMW,19680101,2,2,5,5,5,5,5,5,3,3,,
1800BS,BMW,BMW,19720101,2,2,5,5,5,5,5,5,3,3,,
1800TI,BMW,BMW,19650101,2,2,5,5,5,5,5,5,3,3,,
1A16,BMW,1,20110922,1,2,4,4,4,4,4,4,7,7,,
1B30,BMW,1,20120801,1,2,6,6,2,3,4,4,6,6,,
